Datum,Stunde,Fleher Deich Ost stromaufwÃ¤rts,Wetter,Temperatur,Luftfeuchtigkeit,Wolken,Gefuehlte Temperatur,Regen,Wind
03.01.2017,05:00:00,7,Leicht bewÃ¶lkt,-1,97,74,-6,0,15
03.01.2017,06:00:00,11,Leicht bewÃ¶lkt,-1,97,84,-6,0,16
03.01.2017,07:00:00,14,Leicht bewÃ¶lkt,0,96,89,-5,0,18
03.01.2017,08:00:00,22,Bedeckt,0,95,95,-5,0,19
03.01.2017,09:00:00,16,Bedeckt,1,94,100,-4,0,21
03.01.2017,10:00:00,1,Bedeckt,2,91,97,-3,0,22
03.01.2017,11:00:00,2,Leichter Eisregen,2,89,94,-3,0,23
03.01.2017,12:00:00,4,Leichter Eisregen,3,87,92,-2,0,24
03.01.2017,13:00:00,12,Leichter Eisregen,3,87,93,-2,0,24
03.01.2017,14:00:00,7,BewÃ¶lkt,3,87,94,-2,0,25
03.01.2017,15:00:00,12,BewÃ¶lkt,4,87,96,-1,0,25
03.01.2017,16:00:00,18,BewÃ¶lkt,3,88,97,-2,0,26
03.01.2017,17:00:00,17,Bedeckt,3,90,99,-3,0,27
03.01.2017,18:00:00,11,Bedeckt,2,91,100,-3,0,28
03.01.2017,19:00:00,5,Bedeckt,2,92,100,-4,0,29
03.01.2017,20:00:00,2,Nieselregen,1,93,100,-5,1,30
03.01.2017,21:00:00,3,Nieselregen,1,94,100,-6,1,31
03.01.2017,22:00:00,5,Nieselregen,1,95,100,-5,1,31
03.01.2017,23:00:00,3,MÃ¤ÃŸiger Regenfall,2,95,100,-5,1,32
04.01.2017,00:00:00,0,MÃ¤ÃŸiger Regenfall,2,96,100,-4,1,32
04.01.2017,01:00:00,0,MÃ¤ÃŸiger Regenfall,2,95,100,-4,1,32
04.01.2017,02:00:00,1,Leichter Regenfall,2,95,100,-4,1,32
04.01.2017,03:00:00,0,Leichter Regenfall,3,95,100,-4,0,32
04.01.2017,04:00:00,1,Leichter Regenfall,3,95,100,-3,0,32
04.01.2017,05:00:00,5,Leichter Regenfall,3,95,100,-3,0,31
04.01.2017,06:00:00,15,Leichter Regenfall,3,95,100,-3,0,30
04.01.2017,07:00:00,19,Leichter Regenfall,3,93,91,-2,0,29
04.01.2017,08:00:00,12,Leichter Regenfall,4,90,83,-1,0,28
04.01.2017,09:00:00,9,Leichter Regenfall,4,87,74,-1,0,26
04.01.2017,10:00:00,9,Leichter Regenfall,4,84,78,0,0,28
04.01.2017,11:00:00,5,Stellenweiser leichter Regenfall,5,80,83,0,0,29
04.01.2017,12:00:00,11,Stellenweiser leichter Regenfall,5,76,87,0,0,30
04.01.2017,13:00:00,17,Stellenweiser leichter Regenfall,6,76,82,1,0,30
04.01.2017,14:00:00,8,Leichter Regenschauer,6,75,77,1,0,29
04.01.2017,15:00:00,15,Leichter Regenschauer,6,74,72,2,0,28
04.01.2017,16:00:00,20,Leichter Regenschauer,6,76,67,1,0,27
04.01.2017,17:00:00,12,Leichter Regenschauer,6,77,61,1,0,27
04.01.2017,18:00:00,13,Leichter Regenschauer,5,79,56,1,0,26
04.01.2017,19:00:00,4,Leichter Regenschauer,5,80,48,0,0,25
04.01.2017,20:00:00,5,Stellenweiser Regenfall,4,81,40,0,0,24
04.01.2017,21:00:00,1,Stellenweiser Regenfall,4,82,32,-1,0,23
04.01.2017,22:00:00,6,Stellenweiser Regenfall,3,82,30,-2,0,21
04.01.2017,23:00:00,5,Sonnig,2,81,29,-3,0,20
05.01.2017,00:00:00,0,Sonnig,0,81,28,-5,0,19
05.01.2017,01:00:00,0,Sonnig,-1,82,38,-5,0,18
05.01.2017,02:00:00,0,Leicht bewÃ¶lkt,-1,84,48,-6,0,17
05.01.2017,03:00:00,0,Leicht bewÃ¶lkt,-2,85,57,-7,0,16
05.01.2017,04:00:00,1,Leicht bewÃ¶lkt,-2,87,62,-7,0,15
05.01.2017,05:00:00,13,BewÃ¶lkt,-2,90,67,-7,0,14
05.01.2017,06:00:00,10,BewÃ¶lkt,-2,92,71,-7,0,13
05.01.2017,07:00:00,18,BewÃ¶lkt,-2,88,61,-6,0,12
05.01.2017,08:00:00,30,BewÃ¶lkt,-1,84,51,-5,0,12
05.01.2017,09:00:00,6,BewÃ¶lkt,-1,81,41,-5,0,12
05.01.2017,10:00:00,11,BewÃ¶lkt,0,76,46,-4,0,13
05.01.2017,11:00:00,12,Sonnig,0,72,51,-4,0,15
05.01.2017,12:00:00,11,Sonnig,1,68,56,-4,0,16
05.01.2017,13:00:00,17,Sonnig,1,68,61,-3,0,15
05.01.2017,14:00:00,16,BewÃ¶lkt,1,68,66,-3,0,14
05.01.2017,15:00:00,36,BewÃ¶lkt,1,69,71,-3,0,13
05.01.2017,16:00:00,27,BewÃ¶lkt,1,71,56,-3,0,12
05.01.2017,17:00:00,19,BewÃ¶lkt,1,72,42,-3,0,12
05.01.2017,18:00:00,14,BewÃ¶lkt,1,74,28,-3,0,11
05.01.2017,19:00:00,2,BewÃ¶lkt,1,73,20,-3,0,10
05.01.2017,20:00:00,4,Sonnig,0,73,13,-3,0,10
05.01.2017,21:00:00,2,Sonnig,0,73,5,-3,0,9
05.01.2017,22:00:00,5,Sonnig,-1,72,5,-4,0,9
05.01.2017,23:00:00,2,Sonnig,-1,71,4,-4,0,9
06.01.2017,00:00:00,0,Sonnig,-2,70,4,-5,0,8
06.01.2017,01:00:00,0,Sonnig,-2,69,9,-6,0,8
06.01.2017,02:00:00,0,Sonnig,-3,68,14,-6,0,8
06.01.2017,03:00:00,0,Sonnig,-3,67,19,-7,0,8
06.01.2017,04:00:00,0,Sonnig,-3,67,34,-6,0,8
06.01.2017,05:00:00,8,Leicht bewÃ¶lkt,-3,67,50,-6,0,8
06.01.2017,06:00:00,10,Leicht bewÃ¶lkt,-3,67,65,-6,0,8
06.01.2017,07:00:00,23,Leicht bewÃ¶lkt,-3,67,75,-6,0,8
06.01.2017,08:00:00,23,BewÃ¶lkt,-3,67,85,-6,0,8
06.01.2017,09:00:00,7,BewÃ¶lkt,-3,67,94,-6,0,9
06.01.2017,10:00:00,2,BewÃ¶lkt,-2,65,84,-6,0,9
06.01.2017,11:00:00,3,Bedeckt,-2,63,73,-6,0,10
06.01.2017,12:00:00,6,Bedeckt,-2,61,62,-5,0,11
06.01.2017,13:00:00,22,Bedeckt,-1,61,51,-5,0,11
06.01.2017,14:00:00,18,Leicht bewÃ¶lkt,-1,61,41,-5,0,11
06.01.2017,15:00:00,23,Leicht bewÃ¶lkt,-1,61,30,-5,0,11
06.01.2017,16:00:00,17,Leicht bewÃ¶lkt,-1,64,25,-5,0,12
06.01.2017,17:00:00,12,Sonnig,-2,67,21,-6,0,13
06.01.2017,18:00:00,11,Sonnig,-2,71,16,-6,0,13
06.01.2017,19:00:00,8,Sonnig,-2,72,15,-7,0,14
06.01.2017,20:00:00,2,Sonnig,-3,74,15,-8,0,15
06.01.2017,21:00:00,1,Sonnig,-3,75,14,-8,0,15
06.01.2017,22:00:00,8,Sonnig,-3,74,22,-8,0,15
06.01.2017,23:00:00,1,Sonnig,-3,73,30,-9,0,15
07.01.2017,00:00:00,0,Sonnig,-3,72,37,-9,0,15
07.01.2017,01:00:00,0,Sonnig,-3,69,49,-9,0,15
07.01.2017,02:00:00,0,Leicht bewÃ¶lkt,-4,66,61,-9,0,15
07.01.2017,03:00:00,0,Leicht bewÃ¶lkt,-4,63,73,-9,0,14
07.01.2017,04:00:00,0,Leicht bewÃ¶lkt,-4,61,81,-9,0,15
07.01.2017,05:00:00,0,BewÃ¶lkt,-4,60,88,-9,0,15
07.01.2017,06:00:00,0,BewÃ¶lkt,-4,58,95,-9,0,15
07.01.2017,07:00:00,0,BewÃ¶lkt,-3,60,97,-8,0,16
07.01.2017,08:00:00,0,MÃ¤ÃŸiger Schneefall,-3,61,98,-8,0,17
07.01.2017,09:00:00,3,MÃ¤ÃŸiger Schneefall,-2,63,100,-8,0,17
07.01.2017,10:00:00,4,MÃ¤ÃŸiger Schneefall,-2,67,100,-7,0,17
07.01.2017,11:00:00,8,Leichter Eisregen,-1,70,100,-6,0,17
07.01.2017,12:00:00,5,Leichter Eisregen,-1,74,100,-6,0,16
07.01.2017,13:00:00,7,Leichter Eisregen,0,78,100,-5,0,16
07.01.2017,14:00:00,4,Nieselregen,0,81,100,-5,0,15
07.01.2017,15:00:00,12,Nieselregen,0,84,100,-4,0,14
07.01.2017,16:00:00,1,Nieselregen,0,87,100,-4,0,14
07.01.2017,17:00:00,0,Starker Nieselregen,0,89,100,-5,0,14
07.01.2017,18:00:00,1,Starker Nieselregen,-1,91,100,-5,0,13
07.01.2017,19:00:00,0,Starker Nieselregen,-1,92,100,-5,0,13
07.01.2017,20:00:00,0,Starker Nieselregen,-2,93,100,-6,0,13
07.01.2017,21:00:00,2,Starker Nieselregen,-2,95,100,-6,0,12
07.01.2017,22:00:00,0,Starker Nieselregen,-2,96,100,-6,0,12
07.01.2017,23:00:00,4,Starker Nieselregen,-1,97,100,-5,0,11
08.01.2017,00:00:00,0,Starker Nieselregen,-1,98,100,-4,0,11
08.01.2017,01:00:00,0,Starker Nieselregen,0,98,100,-4,0,11
08.01.2017,02:00:00,0,Nieselregen,0,99,100,-4,0,11
08.01.2017,03:00:00,0,Nieselregen,0,99,100,-4,0,12
08.01.2017,04:00:00,0,Nieselregen,0,99,99,-4,0,11
08.01.2017,05:00:00,0,Nieselregen,0,99,98,-4,0,11
08.01.2017,06:00:00,1,Nieselregen,0,99,96,-4,0,11
08.01.2017,07:00:00,0,Nieselregen,0,99,97,-3,0,10
08.01.2017,08:00:00,1,Eisnebel,1,98,98,-2,0,9
08.01.2017,09:00:00,1,Eisnebel,1,98,98,-1,0,9
08.01.2017,10:00:00,3,Eisnebel,2,96,88,0,0,8
08.01.2017,11:00:00,4,Nebel,3,94,78,1,0,7
08.01.2017,12:00:00,9,Nebel,4,93,67,2,0,7
08.01.2017,13:00:00,8,Nebel,4,93,68,2,0,6
08.01.2017,14:00:00,11,Leicht bewÃ¶lkt,4,93,69,3,0,6
08.01.2017,15:00:00,8,Leicht bewÃ¶lkt,4,94,70,3,0,5
08.01.2017,16:00:00,6,Leicht bewÃ¶lkt,4,94,76,3,0,5
08.01.2017,17:00:00,1,Leichter Nebel,4,95,82,2,0,5
08.01.2017,18:00:00,5,Leichter Nebel,3,96,88,2,0,5
08.01.2017,19:00:00,1,Leichter Nebel,3,96,89,1,0,6
08.01.2017,20:00:00,4,Leichter Nebel,2,96,89,1,0,6
08.01.2017,21:00:00,0,Leichter Nebel,2,96,89,0,0,6
08.01.2017,22:00:00,0,Leichter Nebel,2,97,89,0,0,7
08.01.2017,23:00:00,0,Leichter Nebel,1,97,88,-1,0,7
09.01.2017,00:00:00,0,Leichter Nebel,1,97,88,-1,0,8
09.01.2017,01:00:00,0,Leichter Nebel,1,96,91,-1,0,7
09.01.2017,02:00:00,0,Leichter Nebel,1,96,93,-1,0,7
09.01.2017,03:00:00,0,Leichter Nebel,1,96,96,-1,0,7
09.01.2017,04:00:00,2,Leichter Nebel,2,96,97,-1,0,8
09.01.2017,05:00:00,11,Leichter Nebel,2,95,99,-1,0,8
09.01.2017,06:00:00,25,Leichter Nebel,2,95,100,-1,0,9
09.01.2017,07:00:00,40,Leichter Nebel,2,94,96,-1,0,9
09.01.2017,08:00:00,44,Leichter Nebel,2,93,93,-1,0,10
09.01.2017,09:00:00,23,Leichter Nebel,3,92,89,-1,0,11
09.01.2017,10:00:00,10,Leichter Nebel,3,91,90,0,0,12
09.01.2017,11:00:00,5,BewÃ¶lkt,4,90,90,0,0,13
09.01.2017,12:00:00,5,BewÃ¶lkt,4,89,91,1,0,13
09.01.2017,13:00:00,21,BewÃ¶lkt,4,90,93,1,0,14
09.01.2017,14:00:00,17,Bedeckt,4,91,96,1,0,14
09.01.2017,15:00:00,30,Bedeckt,4,92,98,1,0,15
09.01.2017,16:00:00,33,Bedeckt,4,93,99,1,0,15
09.01.2017,17:00:00,29,Stellenweiser Regenfall,4,93,99,0,0,16
09.01.2017,18:00:00,27,Stellenweiser Regenfall,3,93,100,-1,0,17
09.01.2017,19:00:00,8,Stellenweiser Regenfall,3,93,100,-1,0,17
09.01.2017,20:00:00,8,Stellenweiser Regenfall,3,93,100,-1,0,17
09.01.2017,21:00:00,5,Stellenweiser Regenfall,2,93,100,-2,0,18
09.01.2017,22:00:00,4,Stellenweiser Regenfall,3,93,99,-2,0,18
09.01.2017,23:00:00,1,Nieselregen,3,93,97,-2,0,19
10.01.2017,00:00:00,0,Nieselregen,3,93,96,-1,0,19
10.01.2017,01:00:00,2,Nieselregen,3,93,97,-2,1,20
10.01.2017,02:00:00,0,Leichter Regenfall,3,92,97,-2,1,21
10.01.2017,03:00:00,0,Leichter Regenfall,3,91,98,-2,1,22
10.01.2017,04:00:00,1,Leichter Regenfall,3,92,99,-2,1,21
10.01.2017,05:00:00,8,MÃ¤ÃŸiger Regenfall,3,93,99,-1,1,19
10.01.2017,06:00:00,23,MÃ¤ÃŸiger Regenfall,3,93,100,-1,1,18
10.01.2017,07:00:00,35,MÃ¤ÃŸiger Regenfall,3,94,100,0,1,16
10.01.2017,08:00:00,53,MÃ¤ÃŸiger Regenfall,4,95,100,1,1,14
10.01.2017,09:00:00,19,MÃ¤ÃŸiger Regenfall,4,96,100,2,1,11
10.01.2017,10:00:00,4,MÃ¤ÃŸiger Regenfall,5,95,98,2,0,10
10.01.2017,11:00:00,9,Leichter Regenfall,5,94,96,3,0,9
10.01.2017,12:00:00,4,Leichter Regenfall,5,93,94,4,0,8
10.01.2017,13:00:00,11,Leichter Regenfall,6,93,84,4,0,8
10.01.2017,14:00:00,15,Bedeckt,6,93,75,4,0,8
10.01.2017,15:00:00,18,Bedeckt,6,94,66,4,0,8
10.01.2017,16:00:00,34,Bedeckt,6,94,72,4,0,8
10.01.2017,17:00:00,22,Leichter Nebel,5,95,78,3,0,9
10.01.2017,18:00:00,25,Leichter Nebel,5,96,85,3,0,9
10.01.2017,19:00:00,19,Leichter Nebel,5,96,90,2,0,10
10.01.2017,20:00:00,15,Leichter Nebel,4,96,95,2,0,10
10.01.2017,21:00:00,6,Leichter Nebel,4,96,100,1,0,10
10.01.2017,22:00:00,4,Leichter Nebel,4,96,100,1,0,10
10.01.2017,23:00:00,0,Leichter Nebel,4,96,100,1,0,10
11.01.2017,00:00:00,0,Leichter Nebel,3,97,100,1,0,10
11.01.2017,01:00:00,0,Leichter Nebel,3,96,100,0,0,12
11.01.2017,02:00:00,1,Nebel,3,96,99,0,0,13
11.01.2017,03:00:00,0,Nebel,3,96,99,0,0,14
11.01.2017,04:00:00,1,Nebel,4,94,99,0,0,16
11.01.2017,05:00:00,10,Nieselregen,4,93,99,0,0,18
11.01.2017,06:00:00,23,Nieselregen,4,91,100,0,0,21
11.01.2017,07:00:00,41,Nieselregen,5,91,100,0,0,23
11.01.2017,08:00:00,38,Stellenweiser Regenfall,5,90,100,1,0,26
11.01.2017,09:00:00,17,Stellenweiser Regenfall,6,90,100,1,0,28
11.01.2017,10:00:00,1,Stellenweiser Regenfall,6,91,100,2,0,30
11.01.2017,11:00:00,3,Nieselregen,7,92,100,2,1,31
11.01.2017,12:00:00,3,Nieselregen,7,93,100,3,1,33
11.01.2017,13:00:00,6,Nieselregen,8,90,100,3,1,33
11.01.2017,14:00:00,11,MÃ¤ÃŸiger Regenfall,8,87,100,4,1,32
11.01.2017,15:00:00,16,MÃ¤ÃŸiger Regenfall,8,84,100,4,0,32
11.01.2017,16:00:00,31,MÃ¤ÃŸiger Regenfall,8,83,100,4,0,31
11.01.2017,17:00:00,20,Leichter Regenschauer,7,82,100,3,0,30
11.01.2017,18:00:00,20,Leichter Regenschauer,7,81,100,3,0,30
11.01.2017,19:00:00,13,Leichter Regenschauer,6,80,100,2,0,30
11.01.2017,20:00:00,5,Bedeckt,6,80,100,1,0,30
11.01.2017,21:00:00,5,Bedeckt,5,79,100,1,0,30
11.01.2017,22:00:00,2,Bedeckt,5,79,100,0,0,30
11.01.2017,23:00:00,2,Nieselregen,5,79,100,0,0,30
12.01.2017,00:00:00,2,Nieselregen,4,78,100,-1,0,30
12.01.2017,01:00:00,0,Nieselregen,4,80,92,-1,0,28
12.01.2017,02:00:00,0,Stellenweiser Regenfall,4,82,85,-1,0,27
12.01.2017,03:00:00,0,Stellenweiser Regenfall,4,83,77,-1,0,25
12.01.2017,04:00:00,1,Stellenweiser Regenfall,4,84,81,-1,0,25
12.01.2017,05:00:00,9,BewÃ¶lkt,4,85,85,-1,0,24
12.01.2017,06:00:00,29,BewÃ¶lkt,4,86,88,-1,0,24
12.01.2017,07:00:00,40,BewÃ¶lkt,4,85,89,-1,0,24
12.01.2017,08:00:00,33,Stellenweiser Regenfall,5,85,90,0,0,25
12.01.2017,09:00:00,20,Stellenweiser Regenfall,5,85,91,1,0,25
12.01.2017,10:00:00,13,Stellenweiser Regenfall,5,83,93,1,0,25
12.01.2017,11:00:00,10,BewÃ¶lkt,5,81,94,1,0,25
12.01.2017,12:00:00,12,BewÃ¶lkt,6,79,96,1,0,26
12.01.2017,13:00:00,14,BewÃ¶lkt,6,80,97,2,0,23
12.01.2017,14:00:00,25,Bedeckt,6,81,99,2,0,20
12.01.2017,15:00:00,33,Bedeckt,6,82,100,3,0,17
12.01.2017,16:00:00,33,Bedeckt,6,85,100,2,0,16
12.01.2017,17:00:00,25,Nieselregen,5,88,100,2,0,16
12.01.2017,18:00:00,14,Nieselregen,5,91,100,2,0,15
12.01.2017,19:00:00,12,Nieselregen,5,91,100,2,1,17
12.01.2017,20:00:00,7,Leichter Regenfall,5,91,100,1,1,18
12.01.2017,21:00:00,3,Leichter Regenfall,5,92,100,0,1,20
12.01.2017,22:00:00,1,Leichter Regenfall,4,92,100,0,1,20
12.01.2017,23:00:00,1,MÃ¤ÃŸiger Regenfall,3,92,100,-1,1,21
13.01.2017,00:00:00,0,MÃ¤ÃŸiger Regenfall,3,92,100,-2,1,22
13.01.2017,01:00:00,0,MÃ¤ÃŸiger Regenfall,2,91,100,-3,1,27
13.01.2017,02:00:00,0,MÃ¤ÃŸiger Regenfall,2,90,100,-4,1,32
13.01.2017,03:00:00,0,MÃ¤ÃŸiger Regenfall,2,90,100,-5,1,37
13.01.2017,04:00:00,2,MÃ¤ÃŸiger Regenfall,2,88,100,-5,1,38
13.01.2017,05:00:00,6,Leichter Eisregen,2,87,100,-5,1,39
13.01.2017,06:00:00,15,Leichter Eisregen,2,85,100,-5,1,39
13.01.2017,07:00:00,13,Leichter Eisregen,2,84,93,-4,1,36
13.01.2017,08:00:00,30,Starker Schneefall,3,83,86,-3,0,32
13.01.2017,09:00:00,5,Starker Schneefall,3,83,79,-2,0,28
13.01.2017,10:00:00,3,Starker Schneefall,4,81,71,-1,0,28
13.01.2017,11:00:00,2,Stellenweise starker Schneefall,4,80,63,-1,0,27
13.01.2017,12:00:00,5,Stellenweise starker Schneefall,5,79,55,0,0,26
13.01.2017,13:00:00,7,Stellenweise starker Schneefall,5,79,57,1,0,25
13.01.2017,14:00:00,17,Stellenweiser Eisregen,5,80,58,1,0,23
13.01.2017,15:00:00,26,Stellenweiser Eisregen,5,80,60,1,0,22
13.01.2017,16:00:00,25,Stellenweiser Eisregen,5,83,69,1,0,23
13.01.2017,17:00:00,9,Stellenweiser Regenfall,5,86,79,0,0,24
13.01.2017,18:00:00,8,Stellenweiser Regenfall,4,89,88,-1,0,25
13.01.2017,19:00:00,4,Stellenweiser Regenfall,4,89,92,-1,0,27
13.01.2017,20:00:00,6,Schneesturm,3,90,96,-2,0,29
13.01.2017,21:00:00,5,Schneesturm,3,90,100,-3,0,31
13.01.2017,22:00:00,1,Schneesturm,2,89,100,-4,0,33
13.01.2017,23:00:00,0,Leichter Regenfall,2,88,100,-5,0,35
14.01.2017,00:00:00,2,Leichter Regenfall,1,87,100,-6,0,37
14.01.2017,01:00:00,1,Leichter Regenfall,0,87,100,-6,0,35
14.01.2017,02:00:00,3,Leichter Eisregen,0,87,100,-7,0,33
14.01.2017,03:00:00,0,Leichter Eisregen,-1,87,100,-7,0,31
14.01.2017,04:00:00,1,Leichter Eisregen,0,87,88,-7,0,28
14.01.2017,05:00:00,1,Starker Schneefall,0,88,76,-6,0,25
14.01.2017,06:00:00,3,Starker Schneefall,0,88,64,-6,0,22
14.01.2017,07:00:00,1,Starker Schneefall,0,87,69,-5,0,22
14.01.2017,08:00:00,3,Stellenweise leichter Schneefall,1,87,75,-5,0,21
14.01.2017,09:00:00,4,Stellenweise leichter Schneefall,1,87,81,-4,0,20
14.01.2017,10:00:00,5,Stellenweise leichter Schneefall,2,86,87,-3,0,21
14.01.2017,11:00:00,17,Bedeckt,2,85,94,-3,0,22
14.01.2017,12:00:00,28,Bedeckt,3,85,100,-2,0,22
14.01.2017,13:00:00,11,Bedeckt,3,86,100,-2,0,23
14.01.2017,14:00:00,24,MÃ¤ÃŸige bis starke SchneefÃ¤lle,3,88,100,-2,0,23
14.01.2017,15:00:00,12,MÃ¤ÃŸige bis starke SchneefÃ¤lle,3,90,100,-2,0,23
14.01.2017,16:00:00,7,MÃ¤ÃŸige bis starke SchneefÃ¤lle,3,90,83,-2,0,22
14.01.2017,17:00:00,5,MÃ¤ÃŸiger bis starker Schneefall mit Gewitter,2,90,66,-2,0,20
14.01.2017,18:00:00,0,MÃ¤ÃŸiger bis starker Schneefall mit Gewitter,2,91,50,-2,0,19
14.01.2017,19:00:00,0,MÃ¤ÃŸiger bis starker Schneefall mit Gewitter,2,90,54,-3,0,18
14.01.2017,20:00:00,0,Stellenweise starker Schneefall,1,89,59,-3,0,18
14.01.2017,21:00:00,3,Stellenweise starker Schneefall,1,89,64,-4,0,17
14.01.2017,22:00:00,1,Stellenweise starker Schneefall,0,89,61,-4,0,18
14.01.2017,23:00:00,0,BewÃ¶lkt,0,90,57,-5,0,18
15.01.2017,00:00:00,1,BewÃ¶lkt,0,90,54,-5,0,18
15.01.2017,01:00:00,1,BewÃ¶lkt,-1,91,63,-6,0,18
15.01.2017,02:00:00,1,MÃ¤ÃŸige bis starke SchneefÃ¤lle,-1,92,71,-6,0,17
15.01.2017,03:00:00,0,MÃ¤ÃŸige bis starke SchneefÃ¤lle,-1,92,80,-6,0,17
15.01.2017,04:00:00,1,MÃ¤ÃŸige bis starke SchneefÃ¤lle,-1,92,70,-6,0,16
15.01.2017,05:00:00,1,Bedeckt,-1,92,60,-6,0,15
15.01.2017,06:00:00,0,Bedeckt,-1,92,50,-6,0,15
15.01.2017,07:00:00,1,Bedeckt,0,90,49,-5,0,14
15.01.2017,08:00:00,0,Leicht bewÃ¶lkt,0,88,47,-4,0,14
15.01.2017,09:00:00,1,Leicht bewÃ¶lkt,1,86,45,-3,0,14
15.01.2017,10:00:00,6,Leicht bewÃ¶lkt,1,83,55,-3,0,13
15.01.2017,11:00:00,8,Leicht bewÃ¶lkt,2,80,64,-2,0,13
15.01.2017,12:00:00,15,Leicht bewÃ¶lkt,2,77,74,-1,0,13
15.01.2017,13:00:00,13,Leicht bewÃ¶lkt,3,79,64,-1,0,12
15.01.2017,14:00:00,9,BewÃ¶lkt,3,80,55,0,0,12
15.01.2017,15:00:00,24,BewÃ¶lkt,3,82,45,1,0,11
15.01.2017,16:00:00,11,BewÃ¶lkt,3,85,42,0,0,10
15.01.2017,17:00:00,3,Leicht bewÃ¶lkt,3,88,39,0,0,10
15.01.2017,18:00:00,2,Leicht bewÃ¶lkt,2,91,36,0,0,9
15.01.2017,19:00:00,2,Leicht bewÃ¶lkt,2,91,36,-1,0,9
